4cd32f,2024-11-13 14:07:37,OPEN,,
9a7496,2024-11-13 14:07:49,DOWN,fusca,
7e6871,2024-11-13 14:08:45,OPEN,,
e61712,2024-11-13 14:09:06,TEST,,0
484b69,2024-11-13 14:18:58,OPEN,,
cf8131,2024-11-13 14:19:02,DOWN,carro,
325bcf,2024-11-13 14:20:46,TEST,,0
c705fc,2024-11-13 14:37:30,TEST,,0
15afad,2024-11-13 14:41:43,TEST,,0
61ab6b,2024-11-13 15:02:58,TEST,,0
49da79,2024-11-13 15:03:41,TEST,,0
5f97d0,2024-11-13 15:05:21,TEST,,0
c13b5b,2024-11-22 08:39:48,OPEN,,
6fc968,2024-11-22 08:40:21,DOWN,calculadora,
2d9051,2024-11-22 08:40:29,TEST,,0
a24c40,2024-11-22 09:04:35,TEST,,0
fe71b8,2024-11-22 09:43:11,TEST,,0
cf54d4,2024-11-26 22:42:59,OPEN,,
fc8826,2024-11-26 22:43:05,TEST,,COMP
4d58b2,2024-11-26 22:43:37,TEST,,COMP
0e96d6,2024-11-26 22:44:43,TEST,,COMP
26caa2,2024-11-26 23:40:33,TEST,,COMP
bf00de,2024-11-26 23:42:02,TEST,,COMP
ccb368,2024-11-26 23:42:29,TEST,,COMP
a9e6af,2024-11-26 23:42:31,TEST,,COMP
0423e2,2024-11-26 23:42:59,TEST,,COMP
477cb9,2024-11-26 23:49:27,TEST,,0
710c5d,2024-11-26 23:49:42,TEST,,0
8fb00d,2024-11-26 23:51:07,TEST,,0
52a53a,2024-11-26 23:52:07,TEST,,9
c85c29,2024-11-26 23:52:30,TEST,,0
1b69fc,2024-11-26 23:52:49,TEST,,COMP
a865f9,2024-11-26 23:53:02,TEST,,0
6e5a8a,2024-11-26 23:53:23,TEST,,9
0b568e,2024-11-26 23:54:22,TEST,,9
d0d45f,2024-11-26 23:54:41,TEST,,9
0c9249,2024-11-26 23:55:11,TEST,,45
39cc6e,2024-11-26 23:55:28,TEST,,27
0c37fc,2024-11-26 23:55:54,TEST,,45
bf69d3,2024-11-26 23:56:31,TEST,,45
e9612c,2024-11-26 23:57:10,TEST,,45
041e77,2024-11-26 23:57:23,TEST,,45
d53e50,2024-11-26 23:58:04,TEST,,72
542977,2024-11-26 23:59:43,TEST,,COMP
6192fc,2024-11-27 00:00:16,TEST,,72
281a32,2024-11-27 00:01:35,TEST,,72
982b05,2024-11-27 00:01:58,TEST,,72
1a8396,2024-11-27 00:03:54,TEST,,72
bad1f3,2024-11-27 00:05:45,TEST,,72
1c491b,2024-11-27 00:06:29,TEST,,72
9d5e84,2024-11-27 00:06:47,TEST,,72
f5884b,2024-11-27 00:08:34,TEST,,45
d0d6d1,2024-11-27 00:08:47,TEST,,72
c01057,2024-11-27 00:10:27,TEST,,36
b5f848,2024-11-27 00:10:40,TEST,,72
0a2c44,2024-11-27 00:13:33,TEST,,72
05be8b,2024-11-27 00:13:53,TEST,,72
bfb4e2,2024-11-27 00:14:01,TEST,,72
787905,2024-11-27 00:17:27,TEST,,72
7227a4,2024-11-27 00:18:17,TEST,,72
e798c6,2024-11-27 00:19:28,TEST,,72
e81557,2024-11-27 00:23:53,TEST,,45
e342ee,2024-11-27 00:24:14,TEST,,72
c20d67,2024-11-27 00:24:58,TEST,,63
409b5d,2024-11-27 00:25:14,TEST,,72
685f53,2024-11-27 00:25:32,QUIT,,
b7fecc,2024-11-27 00:27:33,OPEN,,
90bc43,2024-11-27 00:27:47,QUIT,,
9217d7,2024-11-27 00:31:13,OPEN,,
f0bf44,2024-11-27 00:31:18,DOWN,relogio,
e3f2ea,2024-11-27 00:31:24,TEST,,0
04e36f,2024-11-28 08:52:05,OPEN,,
e3d9e9,2024-11-28 08:54:44,TEST,,0
ddec91,2024-11-28 09:11:05,TEST,,COMP
bccd84,2024-11-28 09:17:46,TEST,,COMP
5582b6,2024-11-28 09:18:44,TEST,,COMP
46115b,2024-11-28 09:23:03,TEST,,COMP
25bcb1,2024-11-28 09:30:01,TEST,,COMP
c04d85,2024-11-28 09:30:27,TEST,,COMP
2fdb77,2024-11-28 09:31:12,TEST,,COMP
ea16e0,2024-11-28 09:34:37,TEST,,COMP
0c95c7,2024-11-28 09:35:46,TEST,,46
d1bf8c,2024-11-28 09:37:21,TEST,,38
9022ff,2024-11-28 09:37:40,TEST,,38
930351,2024-11-28 09:38:15,TEST,,30
e40add,2024-11-28 09:38:44,TEST,,30
f22ab6,2024-11-28 09:40:12,TEST,,30
c0844e,2024-11-28 09:45:50,TEST,,46
55365c,2024-11-28 09:48:59,DOWN,grafite,
683651,2024-11-28 09:52:46,TEST,,0
f14722,2024-11-29 02:19:05,OPEN,,
a4942a,2024-11-29 02:19:07,TEST,,COMP
184145,2024-11-29 02:19:43,TEST,,COMP
2e0671,2024-11-29 02:29:13,TEST,,COMP
54e668,2024-11-29 02:57:16,TEST,,COMP
c61a62,2024-11-29 12:53:12,OPEN,,
73f7de,2024-11-29 12:53:48,TEST,,46
9dafd0,2024-11-29 12:55:56,TEST,,COMP
b65a6d,2024-11-29 12:56:07,TEST,,46
14f2f5,2024-11-29 13:02:34,TEST,,COMP
149e0a,2024-11-29 13:02:49,TEST,,46
ff5440,2024-11-29 13:04:29,TEST,,46
9f385a,2024-11-29 13:05:34,TEST,,46
fa45f2,2024-11-29 13:06:36,TEST,,46
313c1a,2024-11-29 13:08:07,OPEN,,
168fd2,2024-11-29 13:08:15,TEST,,46
521399,2024-11-29 13:12:04,TEST,,46
4379d0,2024-11-29 13:12:35,TEST,,COMP
29902e,2024-11-29 13:15:11,TEST,,46
e39fa5,2024-11-29 14:28:49,OPEN,,
0572de,2024-11-29 14:28:52,TEST,,COMP
804b22,2024-11-29 14:29:15,TEST,,COMP
28dfef,2024-11-29 14:29:32,TEST,,COMP
04438f,2024-11-29 14:30:25,TEST,,46
81cc1a,2024-11-29 14:35:26,OPEN,,
db5c4d,2024-11-29 14:35:29,TEST,,46
0cbb7d,2024-11-29 14:36:27,TEST,,100
1be68f,2024-11-29 14:38:34,QUIT,,
0e39a4,2024-11-29 15:09:38,OPEN,,
a64af3,2024-11-29 15:09:42,TEST,,COMP
3c3e73,2024-11-29 15:09:54,TEST,,COMP
1ac338,2024-11-29 15:13:16,TEST,,COMP
1e426b,2024-11-29 15:14:52,TEST,,COMP
34cb41,2024-11-29 15:15:16,TEST,,COMP
4b0ba9,2024-11-29 15:17:17,TEST,,0
27f95e,2024-11-29 15:20:33,TEST,,0
db6ce5,2024-11-29 15:22:10,TEST,,0
646360,2024-11-29 15:32:44,TEST,,0
0f5393,2024-11-29 15:33:27,TEST,,0
d19fe9,2024-11-29 15:34:09,TEST,,COMP
6047ee,2024-11-29 15:34:22,OPEN,,
eb1e25,2024-11-29 15:34:35,TEST,,0
f41cef,2024-11-29 15:36:01,TEST,,COMP
15c178,2024-11-29 20:24:15,OPEN,,
d6e281,2024-11-29 20:24:30,TEST,,0
6752c3,2024-11-29 20:24:33,QUIT,,
d22663,2024-11-29 20:25:40,OPEN,,
796870,2024-11-29 20:25:50,TEST,,100
2de2e1,2024-11-29 20:25:53,TEST,,100
2a268c,2024-11-29 20:25:57,QUIT,,
f3dbaa,2024-11-29 20:40:41,OPEN,,
